,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
Topic1,1,,,,,,,,,,,,,,
Topic2,0.04***,1,,,,,,,,,,,,,
Topic3,-0.16***,-0.23***,1,,,,,,,,,,,,
Topic4,-0.16***,-0.12***,-0.22***,1,,,,,,,,,,,
Topic5,-0.06***,-0.19***,0.01,-0.16***,1,,,,,,,,,,
Topic6,-0.09***,-0.22***,-0.07***,-0.03***,-0.11***,1,,,,,,,,,
Topic7,0.11***,-0.16***,0.04***,-0.13***,0.08***,0.02***,1,,,,,,,,
Topic8,-0.13***,-0.10***,-0.02**,-0.05***,0.04***,-0.13***,-0.17***,1,,,,,,,
Topic9,0.06***,-0.01*,-0.21***,-0.07***,0.03***,-0.05***,-0.07***,-0.06***,1,,,,,,
Topic10,-0.04***,-0.15***,0.17***,-0.17***,-0.15***,0.04***,0.06***,-0.13***,-0.26***,1,,,,,
Topic11,-0.04***,0.06***,-0.16***,-0.01*,-0.18***,-0.09***,-0.12***,-0.14***,-0.10***,-0.03***,1,,,,
Topic12,-0.10***,-0.12***,-0.08***,-0.07***,-0.09***,0.03***,-0.07***,-0.04***,-0.12***,-0.05***,-0.04***,1,,,
Topic13,0.12***,-0.07***,-0.15***,-0.10***,0.08***,-0.01,0.11***,-0.12***,0.13***,-0.15***,-0.18***,-0.04***,1,,
Topic14,-0.08***,0.03***,-0.08***,-0.04***,-0.14***,-0.13***,-0.17***,0.08***,-0.05***,-0.13***,-0.02***,-0.12***,-0.05***,1,
Topic15,-0.15***,0,0.13***,-0.12***,-0.03***,-0.19***,-0.20***,0.01,-0.18***,-0.01*,0.10***,-0.06***,-0.28***,-0.04***,1
